Battery power,Bluetooth,Microprocessor Speed,Double line,MegaPixels,4G,Internal Memory,Thickness,Weight,core number,Rear Camera MP,Resolution Height,Resolution Width,RAM,Battery Shoulder,3G,Touch,WiFi,Price range,color
202,0,2.4,0,0,0,9,0,22,2,0,404,742,595,3,0,0,0,4,Kahverengi
972,0,0.2,0,0,0,37,0.7,2,2,0,705,648,2870,7,0,0,0,2,Turuncu
483,0,2.2,0,3,0,53,0.7,69,5,0,290,650,744,0,0,0,0,3,Mor
59,0,0.5,0,3,0,36,0.4,4,4,8,707,206,2005,8,0,0,0,0,Turkuaz
627,0,0.8,0,2,0,20,0.8,42,3,8,200,507,896,4,0,0,0,4,Beyaz
694,0,0.6,0,0,0,34,0.3,2,7,7,377,549,2298,2,0,0,0,0,Mavi
254,0,0.2,0,2,0,50,0.7,8,5,6,462,3,3959,7,0,0,0,2,Turkuaz
365,0,0.6,0,0,0,30,0.3,25,4,0,293,970,300,3,0,0,0,4,Siyah
850,0,2.3,0,7,0,54,0,0,2,9,788,7,5,4,0,0,0,4,Mor
708,0,0.7,0,0,0,20,0.8,88,0,7,508,830,754,9,0,0,0,3,Beyaz
604,0,0.7,0,4,0,50,0,78,7,7,2,40,2854,2,0,0,0,0,Turuncu
2,0,2.6,0,7,0,27,0,46,0,0,5,0,295,7,0,0,0,4,Pembe
63,0,0,0,0,0,26,0.8,0,5,2,208,232,3809,5,0,0,0,2,Turkuaz
797,0,2.2,0,0,0,37,0.9,44,7,2,206,67,2206,6,0,0,0,3,Siyah
678,0,2,0,3,0,64,0.9,34,3,0,436,536,278,0,0,0,0,4,Turkuaz
958,0,0.6,0,9,0,60,0.4,200,0,2,730,750,407,9,0,0,0,4,Kırmızı
569,0,0.6,0,2,0,39,0,84,8,9,389,739,2800,7,0,0,0,3,Turuncu
62,0,2.5,0,6,0,0,0.9,60,0,3,596,807,,6,0,0,0,2,Gri
622,0,0.7,0,0,0,9,0.3,27,2,0,98,500,3906,5,0,0,0,0,Kırmızı
707,0,0,0,2,0,4,0,99,8,6,878,980,629,20,0,0,0,4,Pembe
890,0,0.5,0,9,0,25,0.3,96,2,9,375,724,2073,0,0,0,0,3,Beyaz
546,0,0.6,0,2,0,27,0.7,24,2,6,38,490,267,6,0,0,0,4,Beyaz
676,0,2.2,0,0,0,39,0.2,84,0,5,864,0,2064,6,0,0,0,3,Pembe
530,0,2,0,0,0,60,0.4,62,6,0,625,765,2524,7,0,0,0,0,Beyaz
869,0,2.6,0,0,0,30,0.4,52,0,3,63,874,375,9,0,0,0,3,Mavi
307,0,0.5,0,6,0,2,0,54,2,9,430,542,425,0,0,0,0,4,Sarı
986,0,0.5,0,3,0,50,0,65,8,20,282,358,604,3,0,0,0,3,Beyaz
770,0,0.5,0,3,0,25,0,86,4,6,327,922,770,20,0,0,0,4,Siyah
450,0,2,0,0,0,30,0.6,4,5,4,573,639,794,9,0,0,0,3,Mavi
898,0,0.8,0,3,0,56,0.2,85,7,4,444,739,2004,9,0,0,0,0,Siyah
848,0,2.8,0,0,0,8,0,3,7,3,7,294,436,5,0,0,0,4,Kahverengi
39,0,2.7,0,0,0,56,0.3,25,8,3,497,608,3005,5,0,0,0,0,Kırmızı
0,0,0.6,0,2,0,5,0,2,8,4,909,344,757,6,0,0,0,4,Sarı
442,0,0.6,0,0,0,27,0.4,27,5,8,266,642,990,7,0,0,0,4,Pembe
589,0,0.4,0,3,0,26,0,0,8,6,673,759,3970,8,0,0,0,2,Mavi
2,0,0.5,0,0,0,53,0.6,20,4,6,234,739,3655,20,0,0,0,2,Turkuaz
2,0,0.8,0,0,0,35,0.5,83,2,4,345,406,726,9,0,0,0,3,Turuncu
709,0,2,0,0,0,2,0.3,22,8,7,240,904,462,5,0,0,0,4,Yeşil
339,0,2.3,0,0,0,40,0,23,2,0,202,269,2382,7,0,0,0,0,Gri
65,0,2.4,0,0,0,40,0.2,78,6,2,564,830,764,5,0,0,0,4,Kahverengi
520,0,0.6,0,5,0,62,0.3,43,0,9,678,630,3555,9,0,0,0,2,Turkuaz
868,0,0.7,0,0,0,30,0.8,83,4,0,276,26,653,7,0,0,0,3,Beyaz
360,0,0.4,0,0,0,47,0,69,5,2,880,382,2495,6,0,0,0,0,Sarı
806,0,3,0,2,0,9,0,7,0,3,96,650,3850,4,0,0,0,2,Beyaz
505,0,2,0,4,0,24,0.9,76,5,6,747,247,3004,20,0,0,0,2,Beyaz
900,0,2.9,0,0,0,46,0,80,5,0,460,670,363,7,0,0,0,4,Siyah
0,0,0.5,0,4,0,40,0,52,3,6,800,455,2572,6,0,0,0,0,Siyah
940,0,0.9,0,4,0,7,0.7,93,5,7,2,858,2297,8,0,0,0,0,Kahverengi
600,0,0.4,0,4,0,4,0,54,4,3,356,765,532,0,0,0,0,4,Mor
825,0,0.5,0,7,0,52,0.9,30,3,0,597,863,3534,6,0,0,0,2,Pembe
403,0,2.5,0,3,0,62,0.9,90,4,3,207,623,920,8,0,0,0,4,Turuncu
602,0,2.8,0,4,0,38,0.7,4,3,20,466,788,37,20,0,0,0,4,Kahverengi
823,0,0.5,0,0,0,39,0.4,87,8,4,630,888,294,0,0,0,0,4,Beyaz
888,0,2.6,0,2,0,33,0.4,98,2,7,327,683,3407,20,0,0,0,2,Gri
996,0,2.5,0,5,0,50,0.4,22,4,9,670,445,2236,2,0,0,0,0,Pembe
438,0,0.8,0,3,0,6,0.6,69,8,7,859,867,2246,5,0,0,0,0,Turkuaz
208,0,0.8,0,0,0,4,0.5,47,3,4,229,606,398,5,0,0,0,4,Mor
980,0,0.5,0,2,0,29,0.8,77,0,3,302,900,3865,8,0,0,0,2,Yeşil
949,0,2.6,0,4,0,47,0.3,99,4,7,407,822,433,20,0,0,0,3,Kırmızı
798,0,0.5,0,7,0,2,0.8,48,2,5,497,627,3593,3,0,0,0,0,Kırmızı
30,0,0.8,0,0,0,27,0.9,0,0,8,495,579,305,0,0,0,0,4,Beyaz
90,0,0.8,0,6,0,46,0.8,89,6,9,42,807,824,7,0,0,0,4,Beyaz
658,0,2.7,0,0,0,2,0.9,3,7,3,56,750,3587,20,0,0,0,2,Turkuaz
970,0,0.6,0,0,0,58,0.3,80,8,9,654,882,2372,2,0,0,0,0,Turkuaz
656,0,0,0,5,0,34,0,66,3,7,880,456,629,4,0,0,0,3,Pembe
608,0,0.5,0,2,0,57,0.2,88,3,7,879,896,2399,7,0,0,0,3,Beyaz
973,0,0.5,0,5,0,57,0.2,90,7,6,457,806,2977,2,0,0,0,0,Beyaz
450,0,2.7,0,9,0,9,0.6,30,0,7,707,882,575,2,0,0,0,4,Sarı
769,0,0.2,0,2,0,7,0,95,8,4,384,454,877,0,0,0,0,3,Pembe
609,0,0.5,0,4,0,0,0,80,6,6,3,524,905,8,0,0,0,3,Kahverengi
702,0,0.5,0,8,0,2,0.6,85,6,9,920,350,435,3,0,0,0,4,Kahverengi
280,0,2.3,0,0,0,28,0.3,48,0,6,285,607,29,6,0,0,0,3,Turuncu
379,0,0,0,0,0,8,0.2,29,2,6,838,885,2358,5,0,0,0,0,Siyah
977,0,0,0,2,0,57,0.6,80,6,7,63,566,206,8,0,0,0,4,Turuncu
906,0,0.9,0,3,0,55,0.2,3,3,4,3,629,870,4,0,0,0,3,Siyah
980,0,0.5,0,0,0,33,0.9,60,6,0,8,758,2268,4,0,0,0,0,Siyah
552,0,2.2,0,6,0,3,0.2,23,6,9,269,26,2403,9,0,0,0,0,Sarı
786,0,2.2,0,0,0,33,0.5,40,7,6,507,697,2390,5,0,0,0,0,Gri
993,0,2.3,0,0,0,6,0.4,6,7,3,424,639,3,6,0,0,0,4,Turuncu
772,0,0.2,0,7,0,8,0.6,34,7,8,552,802,422,5,0,0,0,4,Kahverengi
673,0,2.2,0,2,0,3,0.4,84,2,9,9,247,2709,9,0,0,0,0,Gri
934,0,2.6,0,0,0,46,0,3,0,7,609,299,2940,2,0,0,0,2,Beyaz
685,0,0.6,0,4,0,6,0.6,37,7,5,20,429,880,7,0,0,0,4,Yeşil
507,0,0.9,0,0,0,39,0.7,42,0,0,7,84,2024,2,0,0,0,3,Yeşil
537,0,2,0,0,0,55,0.3,3,7,2,40,430,2029,2,0,0,0,3,Mor
772,0,2.4,0,0,0,0,0.5,80,4,2,242,702,3242,4,0,0,0,2,Sarı
70,0,3,0,9,0,9,0.8,60,7,6,90,604,2647,20,0,0,0,0,Yeşil
972,0,2.9,0,9,0,4,0.4,96,7,8,293,952,306,8,0,0,0,3,Turuncu
44,0,2.8,0,7,0,33,0.6,29,4,3,42,262,806,5,0,0,0,3,Beyaz
704,0,0.5,0,0,0,30,0.3,45,4,2,643,527,2302,0,0,0,0,3,Turuncu
555,0,0.5,0,2,0,7,0.2,63,5,2,956,0,343,3,0,0,0,4,Mor
595,0,0.9,0,7,0,23,0,20,3,7,440,800,3752,8,0,0,0,2,Kırmızı
362,0,0.5,0,3,0,25,0.8,30,7,9,553,505,995,8,0,0,0,4,Sarı
29,0,2.8,0,0,0,49,0.5,85,2,2,70,79,857,5,0,0,0,3,Beyaz
969,0,0.2,0,9,0,63,0.2,32,4,0,390,756,298,0,0,0,0,4,Pembe
32,0,0,0,0,0,8,0,57,0,4,90,293,950,6,0,0,0,3,Mavi
330,0,0.5,0,0,0,38,0,83,7,0,290,440,733,0,0,0,0,3,Kırmızı
580,0,0,0,9,0,40,0.4,72,4,9,693,850,384,2,0,0,0,3,Mor
507,0,0.5,0,6,0,48,0.6,43,5,4,802,489,2822,0,0,0,0,2,Turkuaz
944,0,0.8,0,0,0,30,0.8,87,4,0,0,362,,8,0,0,0,2,Beyaz
35,0,0.5,0,4,0,49,0.3,78,2,5,574,70,3990,9,0,0,0,2,Sarı
994,0,0.7,0,5,0,5,0.4,89,2,7,86,546,836,8,0,0,0,0,Gri
259,0,0.2,0,0,0,3,0.5,97,2,0,200,989,340,4,0,0,0,4,Gri
946,0,2.7,0,8,0,8,0.3,23,8,9,647,849,3007,2,0,0,0,2,Gri
597,0,2.3,0,0,0,34,0.4,89,0,4,64,667,934,9,0,0,0,4,Gri
400,0,0.5,0,0,0,5,0.3,92,3,0,92,300,2304,8,0,0,0,0,Turuncu
578,0,2.6,0,2,0,57,0.2,62,8,8,25,433,270,5,0,0,0,4,Turuncu
623,0,0.8,0,6,0,26,0.3,97,7,2,484,238,769,6,0,0,0,3,Kırmızı
674,0,2.8,0,0,0,8,0.2,93,3,0,750,772,589,4,0,0,0,4,Yeşil
667,0,0.3,0,4,0,6,0,49,6,0,272,870,3566,2,0,0,0,0,Kırmızı
444,0,0.6,0,2,0,48,0.5,82,5,7,92,554,2540,5,0,0,0,2,Pembe
77,0,0.9,0,0,0,0,0,80,4,7,945,923,887,0,0,0,0,3,Sarı
330,0,0,0,0,0,37,0.7,26,7,20,3,637,2066,4,0,0,0,0,Beyaz
645,0,0.8,0,0,0,20,0.7,23,7,2,897,308,783,20,0,0,0,4,Kırmızı
733,0,0.8,0,7,0,6,0.4,38,4,2,202,787,2648,9,0,0,0,0,Kahverengi
570,0,0.4,0,0,0,9,0,0,6,0,703,398,666,3,0,0,0,4,Mor
983,0,0.6,0,0,0,45,0,30,4,0,948,205,2052,6,0,0,0,3,Mor
850,0,2.9,0,0,0,53,0.7,2,6,2,74,75,2678,8,0,0,0,0,Gri
445,0,0.5,0,0,0,53,0.7,74,7,4,386,836,99,20,0,0,0,4,Kahverengi
602,0,0.6,0,2,0,58,0.4,70,0,3,259,746,3622,7,0,0,0,2,Turkuaz
733,0,0.5,0,4,0,6,0.9,70,0,5,590,997,3488,0,0,0,0,2,Kırmızı
263,0,0.4,0,0,0,32,0.4,3,2,2,409,644,3372,0,0,0,0,2,Pembe
948,0,0.5,0,6,0,8,0.3,9,4,7,340,728,2926,9,0,0,0,0,Beyaz
589,0,0.5,0,0,0,59,0.7,46,8,4,759,858,362,6,0,0,0,4,Turkuaz
660,0,2.8,0,4,0,7,0.8,84,0,6,76,65,530,7,0,0,0,3,Sarı
280,0,0.3,0,0,0,39,0,8,7,0,356,588,2335,2,0,0,0,3,Gri
664,0,0.5,0,5,0,6,0.9,64,2,9,76,472,3774,8,0,0,0,2,Kırmızı
984,0,0.5,0,3,0,9,0.8,40,3,20,530,707,840,6,0,0,0,4,Kahverengi
709,0,2,0,0,0,52,0,87,3,0,407,520,2600,0,0,0,0,0,Kırmızı
860,0,0.3,0,8,0,40,0.7,70,3,3,573,580,2832,20,0,0,0,0,Turkuaz
965,0,0.5,0,5,0,3,0,9,2,4,30,998,38,0,0,0,0,4,Mavi
20,0,0.3,0,7,0,9,0.7,92,2,2,900,793,355,4,0,0,0,3,Kahverengi
862,0,0.8,0,3,0,23,0.4,65,2,5,793,758,278,0,0,0,0,4,Turuncu
525,0,2.4,0,0,0,35,0.8,90,7,20,82,670,609,3,0,0,0,4,Kırmızı
986,0,0.5,0,7,0,39,0,89,7,9,250,599,3476,7,0,0,0,2,Turuncu
604,0,0.9,0,0,0,63,0.6,93,5,2,640,56,464,20,0,0,0,3,Beyaz
543,0,0.5,0,0,0,57,0.7,92,5,4,390,984,2403,5,0,0,0,3,Turkuaz
705,0,0.3,0,0,0,2,0.3,94,8,6,224,676,633,5,0,0,0,0,Yeşil
0,0,2,0,2,0,8,0.9,39,5,3,547,957,2625,2,0,0,0,0,Beyaz
86,0,0.7,0,0,0,43,0.2,0,6,0,56,50,3285,7,0,0,0,0,Beyaz
504,0,0.4,0,3,0,2,0.6,38,3,4,306,538,37,5,0,0,0,4,Gri
742,0,0.6,0,3,0,49,0.8,0,0,9,34,469,947,6,0,0,0,0,Gri
589,0,0.6,0,0,0,5,0.8,2,5,2,776,397,3430,9,0,0,0,2,Kahverengi
35,0,0.9,0,8,0,0,0,73,6,0,830,709,2002,5,0,0,0,3,Mavi
589,0,2.3,0,0,0,60,0.6,60,4,0,429,805,2003,2,0,0,0,3,Gri
604,0,0.2,0,0,0,9,0,60,3,2,73,209,832,0,0,0,0,3,Sarı
248,0,2.4,0,6,0,9,0.4,89,3,8,70,686,2454,3,0,0,0,0,Mor
444,0,2,0,0,0,6,0.9,3,0,0,274,340,702,0,0,0,0,4,Mavi
724,0,0.8,0,0,0,9,0.8,0,2,0,655,828,3056,6,0,0,0,2,Yeşil
407,0,2.4,0,0,0,22,0.7,4,4,4,72,207,2092,3,0,0,0,0,Siyah
967,0,0.5,0,0,0,46,0.6,99,0,7,508,374,567,7,0,0,0,3,Kahverengi
973,0,0.6,0,5,0,39,0.8,52,4,6,792,80,993,5,0,0,0,0,Turuncu
63,0,0.5,0,7,0,3,0.9,55,4,0,394,849,909,20,0,0,0,3,Turkuaz
605,0,2.8,0,3,0,9,0.9,7,0,3,542,678,2948,3,0,0,0,0,Sarı
805,0,2,0,4,0,50,0.3,85,6,2,982,290,3469,6,0,0,0,2,Mavi
299,0,2.8,0,2,0,60,0.8,87,8,6,333,838,402,20,0,0,0,3,Siyah
306,0,2,0,2,0,33,0.4,74,3,9,867,258,2520,6,0,0,0,0,Yeşil
42,0,0.4,0,6,0,6,0.7,90,8,8,534,855,663,5,0,0,0,4,Kahverengi
855,0,0.5,0,2,0,59,0.5,59,2,3,28,96,875,8,0,0,0,3,Mor
2,0,2.7,0,6,0,0,0.4,85,6,8,285,502,960,9,0,0,0,4,Mor
695,0,0.5,0,2,0,47,0.5,89,5,3,308,208,629,0,0,0,0,3,Mavi
929,0,0.5,0,0,0,9,0,63,6,2,349,50,903,6,0,0,0,3,Mor
307,0,0.8,0,2,0,7,0.6,88,7,3,897,3,402,5,0,0,0,3,Turkuaz
852,0,0.4,0,4,0,0,0.7,96,0,8,580,63,3970,0,0,0,0,2,Kırmızı
909,0,0.7,0,7,0,47,0,46,3,9,400,643,244,6,0,0,0,4,Pembe
56,0,2.7,0,0,0,30,0.9,73,3,6,945,903,2735,3,0,0,0,0,Gri
590,0,0.5,0,2,0,4,0.5,87,4,5,58,9,2836,4,0,0,0,2,Turkuaz
829,0,0.7,0,0,0,36,0.8,2,5,0,290,563,475,7,0,0,0,3,Kahverengi
88,0,0.4,0,0,0,9,0.6,4,2,0,339,558,2896,6,0,0,0,2,Mavi
76,0,2.3,0,0,0,4,0.7,90,5,0,88,708,2355,2,0,0,0,0,Gri
536,0,2.4,0,2,0,3,0.3,82,7,4,386,539,284,4,0,0,0,4,Siyah
535,0,0.5,0,0,0,48,0.7,3,0,4,290,800,740,8,0,0,0,4,Turuncu
805,0,0.8,0,0,0,34,0.6,88,6,2,262,538,3647,9,0,0,0,2,Turuncu
730,0,2,0,0,0,4,0,89,8,2,302,247,200,4,0,0,0,4,Mavi
497,0,0.7,0,5,0,32,0.7,92,3,9,920,933,329,7,0,0,0,0,Gri
850,0,0.5,0,3,0,20,0.4,200,5,7,70,263,478,0,0,0,0,4,Kahverengi
708,0,2.4,0,8,0,49,0,9,0,9,233,507,3388,6,0,0,0,2,Turkuaz
768,0,2,0,0,0,2,0.8,88,7,2,303,804,3256,5,0,0,0,2,Beyaz
972,0,2.7,0,0,0,5,0,26,4,2,687,806,3035,9,0,0,0,0,Turuncu
77,0,2.5,0,3,0,49,0.6,30,4,4,334,79,3454,2,0,0,0,2,Kahverengi
960,0,0.4,0,0,0,57,0.6,4,8,3,290,434,2782,7,0,0,0,0,Turuncu
99,0,0.5,0,3,0,60,0.3,46,3,20,393,96,699,3,0,0,0,3,Kahverengi
842,0,2.2,0,0,0,7,0.6,88,2,2,20,756,2549,9,0,0,0,3,Pembe
757,0,0.9,0,4,0,64,0.5,57,7,5,4,809,3433,0,0,0,0,0,Pembe
536,0,0.4,0,0,0,53,0.7,35,3,0,547,705,200,7,0,0,0,4,Siyah
239,0,0.2,0,5,0,52,0.9,22,2,0,590,660,407,6,0,0,0,4,Beyaz
509,0,2,0,0,0,32,0.7,200,0,0,68,239,2902,5,0,0,0,0,Turkuaz
303,0,2,0,6,0,0,0.4,9,8,5,335,873,2209,5,0,0,0,0,Beyaz
644,0,0.3,0,7,0,30,0.5,4,0,6,40,654,2382,9,0,0,0,0,Turuncu
707,0,0.5,0,0,0,6,0,94,2,0,27,508,853,2,0,0,0,3,Turuncu
902,0,0.6,0,0,0,63,0.7,22,5,4,364,360,3654,5,0,0,0,2,Turuncu
442,0,0,0,0,0,27,0,92,3,9,230,687,2227,20,0,0,0,3,Mor
604,0,0.2,0,0,0,6,0.5,90,6,5,68,42,3564,2,0,0,0,2,Pembe
224,0,0.8,0,2,0,44,0.2,39,2,9,622,709,620,4,0,0,0,4,Kırmızı
766,0,0.5,0,0,0,6,0.6,40,5,7,25,227,3304,7,0,0,0,2,Sarı
905,0,0.5,0,3,0,6,0.5,50,0,5,849,898,545,0,0,0,0,3,Yeşil
733,0,2.8,0,3,0,36,0,9,6,20,357,527,3576,9,0,0,0,2,Siyah
564,0,0.4,0,5,0,26,0,29,6,6,7,5,3742,3,0,0,0,2,Turkuaz
59,0,2.7,0,3,0,28,0.2,80,8,8,378,750,2495,9,0,0,0,0,Mor
800,0,3,0,5,0,53,0.3,87,0,2,90,8,656,8,0,0,0,4,Kırmızı
220,0,2.9,0,3,0,62,0.5,25,4,8,403,933,2589,5,0,0,0,0,Pembe
540,0,0.7,0,0,0,29,0,57,7,0,308,830,60,5,0,0,0,4,Pembe
430,0,0.9,0,3,0,56,0,79,3,5,569,906,752,7,0,0,0,4,Sarı
554,0,0.5,0,0,0,5,0,24,3,2,395,579,3635,8,0,0,0,2,Beyaz
640,0,0.3,0,5,0,6,0.6,43,8,20,976,353,2700,8,0,0,0,0,Siyah
625,0,0.5,0,2,0,50,0,7,8,7,8,209,670,8,0,0,0,4,Kırmızı
285,0,0.8,0,4,0,0,0.8,99,5,7,790,896,3966,2,0,0,0,2,Kahverengi
905,0,0.5,0,9,0,33,0.3,99,2,6,503,986,2056,3,0,0,0,3,Mor
440,0,2,0,0,0,3,0,8,8,7,577,70,2307,7,0,0,0,0,Siyah
803,0,0.8,0,0,0,8,0.3,6,4,0,627,935,2800,2,0,0,0,0,Gri
52,0,0.9,0,0,0,6,0.8,95,4,6,90,839,552,0,0,0,0,4,Beyaz
666,0,0.5,0,7,0,54,0.4,80,3,3,58,353,254,9,0,0,0,4,Gri
652,0,2.4,0,9,0,7,0.7,73,5,0,77,559,974,2,0,0,0,4,Kırmızı
54,0,0.8,0,3,0,40,0.8,96,7,0,27,774,2296,2,0,0,0,3,Kırmızı
800,0,0.7,0,2,0,8,0.4,0,7,6,400,823,3480,8,0,0,0,2,Sarı
502,0,0.5,0,7,0,5,0.9,83,3,5,249,849,2600,5,0,0,0,0,Beyaz
930,0,0.5,0,3,0,34,0.5,90,4,6,50,726,2030,6,0,0,0,0,Beyaz
500,0,0.9,0,2,0,45,0.9,80,5,3,708,752,3484,0,0,0,0,2,Sarı
498,0,0.2,0,0,0,4,0,90,4,0,0,67,577,2,0,0,0,4,Gri
780,0,0.5,0,6,0,27,0,90,4,0,330,463,2776,4,0,0,0,2,Kahverengi
